Grades Report for 202308,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
AAH,1010,1,Survey of Art & Arch History I,48%,37%,15%,1%,0%,0%,0%,0%,0%,"Lauritis, Beth Ann",
AAH,1010,2,Surv of Art & Arch I (HON),92%,8%,0%,0%,0%,0%,0%,0%,0%,"Lauritis, Beth Ann",H
AAH,2050,1,Art History and Theory I,61%,39%,0%,0%,0%,0%,0%,0%,0%,"Lauritis, Beth Ann",
AAH,3050,1,Contemporary Art History,90%,10%,0%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V",
ACCT,2010,1,Financial Accounting Concepts,5%,38%,31%,7%,5%,0%,0%,14%,0%,"Maiberger, Philip A",
ACCT,2010,2,Financial Accounting Concepts,8%,25%,33%,12%,13%,0%,0%,8%,0%,"Maiberger, Philip A",
ACCT,2010,3,Financial Accounting Concepts,29%,39%,22%,10%,0%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,4,Financial Accounting Concepts,36%,39%,21%,4%,0%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,5,Financial Accounting Concepts,2%,36%,42%,10%,2%,0%,0%,8%,0%,"Maiberger, Philip A",
ACCT,2010,6,Financial Accounting Concepts,33%,40%,14%,5%,0%,0%,0%,7%,0%,"Grant, Julie H",
ACCT,2010,7,Financial Accounting Concepts,33%,33%,24%,0%,2%,0%,0%,5%,2%,"Grant, Julie H",
ACCT,2010,8,Financial Accounting Concepts,34%,39%,15%,3%,0%,0%,0%,8%,0%,"McMillan, Jeffrey J",
ACCT,2010,9,Financial Accounting Concepts,35%,26%,23%,6%,2%,0%,0%,8%,0%,"McMillan, Jeffrey J",
ACCT,2010,10,Financial Accounting Concepts,29%,34%,26%,4%,4%,0%,0%,3%,0%,"Hollingsworth, Carl W",
ACCT,2010,11,Financial Accounting Concepts,41%,30%,26%,2%,2%,0%,0%,0%,0%,"Tegen, Charles A",
ACCT,2010,12,Financial Accounting Concepts,38%,33%,19%,5%,2%,0%,0%,3%,0%,"Tegen, Charles A",
ACCT,2010,13,Financial Accounting Concepts,15%,35%,30%,10%,3%,0%,0%,8%,0%,"Schlicksup, Peter James",
ACCT,2010,14,Financial Accounting Concepts,18%,21%,41%,10%,5%,0%,0%,5%,0%,"Schlicksup, Peter James",
ACCT,2010,15,Financial Accounting Concepts,31%,47%,18%,3%,0%,0%,0%,2%,0%,"Martin, Caleb Jay",
ACCT,2010,104,Fin Accounting Concepts (HON),86%,14%,0%,0%,0%,0%,0%,0%,0%,"Grant, Julie H",H
ACCT,2010,400,Financial Accounting Concepts,8%,25%,25%,9%,18%,0%,0%,15%,0%,"Madray, J Russell",
ACCT,2010,401,Financial Accounting Concepts,13%,32%,21%,9%,16%,0%,0%,9%,0%,"Madray, J Russell",
ACCT,2010,402,Financial Accounting Concepts,17%,26%,33%,12%,4%,0%,0%,7%,0%,"McCorkle, Emily Suzanne",
ACCT,2010,410,Financial Accounting Concepts,10%,31%,28%,9%,6%,0%,0%,15%,0%,"Madray, J Russell",
ACCT,2010,411,Financial Accounting Concepts,13%,27%,20%,23%,10%,0%,0%,7%,0%,"Madray, J Russell",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Thursday, February 1, 2024",,,,,,,,,,,,,Page 1 of 135,
Grades Report for 202308,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
ACCT,2010,412,Financial Accounting Concepts,12%,35%,32%,13%,3%,0%,0%,6%,0%,"McCorkle, Emily Suzanne",
ACCT,2020,1,Managerial Accounting Concepts,28%,25%,28%,4%,6%,0%,0%,9%,0%,"Krupa, Nicholas R.",
ACCT,2020,2,Managerial Accounting Concepts,39%,32%,18%,2%,2%,0%,0%,9%,0%,"Krupa, Nicholas R.",
ACCT,2020,3,Managerial Accounting Concepts,31%,27%,29%,8%,3%,0%,0%,2%,0%,"Barnes, James D",
ACCT,2020,4,Managerial Accounting Concepts,54%,20%,17%,7%,2%,0%,0%,0%,0%,"Garrison J, David Walter",
ACCT,2020,5,Managerial Accounting Concepts,53%,18%,22%,2%,2%,0%,0%,4%,0%,"Garrison J, David Walter",
ACCT,2020,6,Managerial Accounting Concepts,21%,36%,36%,5%,0%,0%,0%,2%,0%,"Krupa, Nicholas R.",
ACCT,2020,7,Managerial Accounting Concepts,11%,27%,39%,15%,2%,0%,0%,6%,0%,"Barnes, James D",
ACCT,2020,104,Mgr Acct Concepts (HON),80%,20%,0%,0%,0%,0%,0%,0%,0%,"Garrison J, David Walter",H
