Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AAH,1020,1,Survey of Art & Arch Hist II,44%,41%,5%,0%,0%,0%,0%,1%,1%,7%,0%,0%,Lauritis Beth Ann,
AAH,2060,1,Art History and Theory II,77%,18%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Feeser Andrea V,
ACCT,2010,1,Financial Accounting Conc,52%,12%,6%,0%,4%,0%,0%,4%,0%,10%,10%,2%,Schleifer Lydia,
,,,,,,,,,,,,,,,,Lancaster Folger,
ACCT,2010,2,Financial Accounting Conc,53%,20%,4%,0%,0%,0%,0%,2%,0%,8%,6%,6%,Schleifer Lydia,
,,,,,,,,,,,,,,,,Lancaster Folger,
ACCT,2010,3,Financial Accounting Conc,30%,23%,5%,0%,0%,0%,0%,8%,0%,23%,5%,8%,Philo Annieka C,
ACCT,2010,4,Financial Accounting Conc,38%,23%,0%,0%,0%,0%,0%,5%,0%,23%,5%,8%,Philo Annieka C,
ACCT,2010,5,Financial Accounting Conc,48%,18%,3%,0%,0%,0%,0%,0%,0%,13%,8%,13%,Philo Annieka C,
ACCT,2010,6,Financial Accounting Conc,33%,30%,10%,0%,0%,0%,0%,5%,0%,10%,3%,10%,Grant Julie H,
ACCT,2010,7,Financial Accounting Conc,43%,20%,3%,0%,0%,0%,0%,3%,0%,25%,3%,5%,Grant Julie H,
ACCT,2010,8,Financial Accounting Conc,56%,22%,7%,0%,0%,0%,0%,2%,0%,9%,0%,4%,Schleifer Lydia,
,,,,,,,,,,,,,,,,Lancaster Folger,
ACCT,2010,9,Financial Accounting Conc,74%,14%,0%,0%,0%,0%,0%,3%,0%,9%,0%,0%,Prater Mary Ann M,
ACCT,2010,10,Financial Accounting Conc,44%,31%,8%,0%,3%,0%,0%,3%,0%,10%,0%,3%,McGuigan Michael,
,,,,,,,,,,,,,,,,John,
ACCT,2010,11,Financial Accounting Conc,53%,18%,8%,0%,0%,0%,0%,8%,0%,11%,3%,0%,McGuigan Michael,
,,,,,,,,,,,,,,,,John,
ACCT,2010,12,Financial Accounting Conc,53%,20%,3%,0%,0%,0%,0%,3%,0%,23%,0%,0%,Tegen Charles A,
ACCT,2010,13,Financial Accounting Conc,38%,26%,3%,0%,5%,0%,0%,5%,0%,23%,0%,0%,Birtwistle Lisa,
,,,,,,,,,,,,,,,,Wheatley,
ACCT,2010,14,Financial Accounting Conc,30%,13%,3%,0%,5%,0%,0%,8%,0%,25%,10%,8%,Birtwistle Lisa,
,,,,,,,,,,,,,,,,Wheatley,
ACCT,2010,15,Financial Accounting Conc,23%,33%,5%,3%,0%,0%,0%,5%,0%,23%,3%,5%,Birtwistle Lisa,
,,,,,,,,,,,,,,,,Wheatley,
ACCT,2010,400,Financial Accounting Conc,13%,13%,3%,1%,0%,0%,0%,28%,0%,31%,4%,6%,McMillan Jeffrey J,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 1 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
