Grades Report for 202208,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AAH,1010,1,Survey of Art & Arch Histor,38%,54%,6%,0%,0%,0%,0%,2%,0%,0%,0%,0%,"Lauritis, Beth Ann",
AAH,1010,3,Survey of Art & Arch Histor,95%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V",
AAH,2050,1,Art History and Theory I,93%,3%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"Lauritis, Beth Ann",
AAH,3050,1,Contemporary Art History,73%,18%,5%,0%,5%,0%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V",
ACCT,2010,1,Financial Accounting Conc,39%,33%,16%,3%,2%,0%,0%,7%,0%,0%,0%,0%,"Schleifer, Lydia",
,,,,,,,,,,,,,,,,Lancaster Folger,
ACCT,2010,2,Financial Accounting Conc,39%,40%,15%,3%,2%,0%,0%,2%,0%,0%,0%,0%,"Schleifer, Lydia",
,,,,,,,,,,,,,,,,Lancaster Folger,
ACCT,2010,3,Financial Accounting Conc,29%,45%,21%,2%,2%,0%,0%,0%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,4,Financial Accounting Conc,33%,37%,22%,0%,7%,0%,0%,0%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,5,Financial Accounting Conc,55%,29%,10%,0%,0%,0%,0%,7%,0%,0%,0%,0%,"Schleifer, Lydia",
,,,,,,,,,,,,,,,,Lancaster Folger,
ACCT,2010,6,Financial Accounting Conc,24%,32%,36%,2%,2%,0%,0%,4%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,7,Financial Accounting Conc,27%,39%,27%,4%,2%,0%,0%,2%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,8,Financial Accounting Conc,25%,24%,24%,7%,10%,0%,0%,10%,0%,0%,0%,0%,"McMillan, Jeffrey J",
ACCT,2010,9,Financial Accounting Conc,29%,38%,21%,4%,2%,0%,0%,7%,0%,0%,0%,0%,"McMillan, Jeffrey J",
ACCT,2010,10,Financial Accounting Conc,34%,31%,23%,10%,0%,0%,0%,2%,0%,0%,0%,0%,"Hollingsworth, Carl W",
ACCT,2010,11,Financial Accounting Conc,54%,24%,14%,2%,2%,0%,0%,5%,0%,0%,0%,0%,"Tegen, Charles A",
ACCT,2010,12,Financial Accounting Conc,47%,37%,10%,3%,0%,0%,0%,3%,0%,0%,0%,0%,"Tegen, Charles A",
ACCT,2010,13,Financial Accounting Conc,25%,31%,25%,5%,5%,0%,0%,7%,2%,0%,0%,0%,"Weaver, Andy P",
ACCT,2010,14,Financial Accounting Conc,18%,33%,31%,5%,2%,0%,0%,11%,0%,0%,0%,0%,"Weaver, Andy P",
ACCT,2010,15,Financial Accounting Conc,60%,29%,7%,2%,2%,0%,0%,0%,0%,0%,0%,0%,"Martin, Caleb Jay",
ACCT,2010,104,Fin Accounting Concepts (,93%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Grant, Julie H",H
ACCT,2010,400,Financial Accounting Conc,15%,38%,18%,12%,7%,0%,0%,10%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,2010,401,Financial Accounting Conc,10%,32%,27%,10%,7%,0%,0%,15%,0%,0%,0%,0%,"Madray, J Russell",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Thursday, January 5, 2023",,,,,,,,,,,,,,,,Page 1 of 204,
Grades Report for 202208,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,2010,402,Financial Accounting Conc,12%,25%,42%,8%,7%,0%,0%,7%,0%,0%,0%,0%,"McCorkle, Emily",
,,,,,,,,,,,,,,,,Suzanne,
ACCT,2010,403,Financial Accounting Conc,7%,28%,28%,15%,4%,0%,0%,17%,0%,0%,0%,0%,"McCorkle, Emily",
,,,,,,,,,,,,,,,,Suzanne,
ACCT,2010,411,Financial Accounting Conc,9%,32%,21%,7%,12%,0%,0%,19%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,2010,412,Financial Accounting Conc,12%,27%,27%,12%,7%,0%,0%,15%,0%,0%,0%,0%,"McCorkle, Emily",
,,,,,,,,,,,,,,,,Suzanne,
ACCT,2020,1,Managerial Accounting Co,36%,21%,28%,13%,3%,0%,0%,0%,0%,0%,0%,0%,"Mammadov, Babak",
ACCT,2020,2,Managerial Accounting Co,32%,34%,27%,5%,2%,0%,0%,0%,0%,0%,0%,0%,"Mammadov, Babak",
ACCT,2020,3,Managerial Accounting Co,23%,38%,19%,13%,6%,0%,0%,2%,0%,0%,0%,0%,"Mammadov, Babak",
ACCT,2020,4,Managerial Accounting Co,14%,31%,31%,19%,0%,0%,0%,6%,0%,0%,0%,0%,"Weaver, Andy P",
ACCT,2020,5,Managerial Accounting Co,26%,41%,21%,10%,0%,0%,0%,3%,0%,0%,0%,0%,"Weaver, Andy P",
ACCT,2020,6,Managerial Accounting Co,54%,35%,8%,0%,2%,0%,0%,0%,0%,0%,0%,0%,"Martin, Sarah L",
ACCT,2020,7,Managerial Accounting Co,64%,13%,17%,0%,4%,0%,0%,2%,0%,0%,0%,0%,"Martin, Sarah L",
ACCT,2020,400,Managerial Accounting Co,27%,25%,28%,14%,5%,0%,0%,2%,0%,0%,0%,0%,"McCorkle, Emily",
,,,,,,,,,,,,,,,,Suzanne,
ACCT,2020,410,Managerial Accounting Co,13%,38%,28%,10%,8%,0%,0%,3%,0%,0%,0%,0%,"McCorkle, Emily",
,,,,,,,,,,,,,,,,Suzanne,
ACCT,3030,1,Cost Accounting,28%,38%,28%,0%,3%,0%,0%,3%,0%,0%,0%,0%,"Garrett, Jace B",
ACCT,3030,2,Cost Accounting,35%,35%,23%,3%,3%,0%,0%,3%,0%,0%,0%,0%,"Garrett, Jace B",
ACCT,3030,3,Cost Accounting,16%,45%,26%,3%,3%,0%,0%,8%,0%,0%,0%,0%,"Way, Daniel Thomas",
ACCT,3030,4,Cost Accounting,49%,31%,15%,5%,0%,0%,0%,0%,0%,0%,0%,0%,"Way, Daniel Thomas",
ACCT,3030,5,Cost Accounting,33%,30%,18%,8%,13%,0%,0%,0%,0%,0%,0%,0%,"Davis-Culler, Phebian",
,,,,,,,,,,,,,,,,L,
ACCT,3030,6,Cost Accounting,26%,39%,21%,8%,3%,0%,0%,3%,0%,0%,0%,0%,"Davis-Culler, Phebian",
,,,,,,,,,,,,,,,,L,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Thursday, January 5, 2023",,,,,,,,,,,,,,,,Page 2 of 204,
Grades Report for 202208,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3030,7,Cost Accounting,45%,25%,18%,10%,0%,0%,0%,3%,0%,0%,0%,0%,"Davis-Culler, Phebian",
,,,,,,,,,,,,,,,,L,
ACCT,3110,1,Intermediate Financial Acc,18%,32%,5%,23%,23%,0%,0%,0%,0%,0%,0%,0%,"Hawkins, Erin",
,,,,,,,,,,,,,,,,Michelle,
ACCT,3110,2,Intermediate Financial Acc,25%,36%,36%,4%,0%,0%,0%,0%,0%,0%,0%,0%,"Hawkins, Erin",
,,,,,,,,,,,,,,,,Michelle,
ACCT,3110,3,Intermediate Financial Acc,13%,19%,44%,13%,13%,0%,0%,0%,0%,0%,0%,0%,"Hawkins, Erin",
,,,,,,,,,,,,,,,,Michelle,
ACCT,3110,4,Intermediate Financial Acc,25%,44%,16%,9%,3%,0%,0%,3%,0%,0%,0%,0%,"Philo, Annieka C",
