Grades Report for 202401,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AAH,1020,1,Survey of Art & Arch Hist II,47%,39%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Lauritis, Beth Ann",
AAH,2060,1,Art History and Theory II,75%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V",
ACCT,2010,1,Financial Accounting Conc,18%,18%,28%,18%,13%,0%,0%,8%,0%,0%,0%,0%,"Schlicksup, Peter",
,,,,,,,,,,,,,,,,James,
ACCT,2010,2,Financial Accounting Conc,26%,26%,28%,14%,2%,0%,0%,4%,0%,0%,0%,0%,"Schlicksup, Peter",
,,,,,,,,,,,,,,,,James,
ACCT,2010,3,Financial Accounting Conc,35%,30%,15%,18%,3%,0%,0%,0%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,4,Financial Accounting Conc,41%,21%,23%,5%,5%,0%,0%,5%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,5,Financial Accounting Conc,47%,22%,9%,16%,3%,0%,0%,3%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,6,Financial Accounting Conc,26%,37%,24%,5%,0%,0%,0%,8%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,7,Financial Accounting Conc,36%,36%,21%,5%,0%,0%,0%,2%,0%,0%,0%,0%,"Tegen, Charles A",
ACCT,2010,8,Financial Accounting Conc,37%,27%,29%,5%,0%,0%,0%,2%,0%,0%,0%,0%,"Tegen, Charles A",
ACCT,2010,9,Financial Accounting Conc,27%,41%,15%,5%,7%,0%,0%,5%,0%,0%,0%,0%,"McMillan, Jeffrey J",
ACCT,2010,10,Financial Accounting Conc,21%,33%,18%,5%,8%,0%,0%,15%,0%,0%,0%,0%,"McMillan, Jeffrey J",
ACCT,2010,11,Financial Accounting Conc,18%,20%,23%,20%,13%,0%,0%,8%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,2010,12,Financial Accounting Conc,18%,27%,21%,9%,11%,0%,0%,14%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,2010,13,Financial Accounting Conc,28%,37%,32%,0%,2%,0%,0%,2%,0%,0%,0%,0%,"Martin, Caleb Jay",
ACCT,2010,105,Fin Acct Concepts (HON),43%,43%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,"Grant, Julie H",H
ACCT,2010,401,Financial Accounting Conc,29%,35%,21%,6%,5%,0%,0%,5%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,2010,402,Financial Accounting Conc,21%,36%,31%,7%,4%,0%,0%,1%,0%,0%,0%,0%,"McCorkle, Emily",
,,,,,,,,,,,,,,,,Suzanne,
ACCT,2010,403,Financial Accounting Conc,23%,26%,25%,15%,3%,0%,0%,9%,0%,0%,0%,0%,"McCorkle, Emily",
,,,,,,,,,,,,,,,,Suzanne,
ACCT,2010,404,Financial Accounting Conc,19%,28%,26%,7%,3%,0%,0%,16%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,2010,405,Financial Accounting Conc,20%,29%,30%,6%,5%,0%,0%,9%,2%,0%,0%,0%,"Madray, J Russell",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Wednesday, June 5, 2024",,,,,,,,,,,,,,,,Page 1 of 155,
Grades Report for 202401,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
