Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
AAH,1020,1,Survey of Art & Arch Hist II,54%,29%,11%,0%,0%,0%,0%,6%,0%,"Lauritis, Beth Ann",
ACCT,2010,1,Financial Accounting Concepts,18%,28%,45%,0%,10%,0%,0%,0%,0%,"Achinapura, Joseph",
ACCT,2010,2,Financial Accounting Concepts,16%,37%,35%,3%,3%,0%,0%,5%,0%,"Achinapura, Joseph",
ACCT,2010,3,Financial Accounting Concepts,31%,28%,23%,13%,3%,0%,0%,3%,0%,"Grant, Julie H",
ACCT,2010,4,Financial Accounting Concepts,47%,37%,10%,3%,2%,0%,0%,2%,0%,"Grant, Julie H",
ACCT,2010,5,Financial Accounting Concepts,29%,26%,29%,10%,0%,0%,0%,6%,0%,"Grant, Julie H",
ACCT,2010,6,Financial Accounting Concepts,23%,28%,18%,15%,5%,0%,0%,10%,0%,"Grant, Julie H",
ACCT,2010,7,Financial Accounting Concepts,33%,36%,17%,5%,5%,0%,0%,5%,0%,"Tegen, Charles A",
ACCT,2010,8,Financial Accounting Concepts,21%,45%,26%,2%,2%,0%,0%,2%,0%,"Tegen, Charles A",
ACCT,2010,9,Financial Accounting Concepts,35%,32%,19%,10%,3%,0%,0%,0%,0%,"Hollingsworth, Carl W",
ACCT,2010,10,Financial Accounting Concepts,24%,39%,24%,3%,5%,0%,0%,5%,0%,"Hollingsworth, Carl W",
ACCT,2010,11,Financial Accounting Concepts,14%,30%,24%,8%,16%,0%,0%,8%,0%,"Gibson, Mary Robinson",
ACCT,2010,12,Financial Accounting Concepts,20%,34%,31%,9%,3%,0%,0%,3%,0%,"Gibson, Mary Robinson",
ACCT,2010,13,Financial Accounting Concepts,45%,42%,10%,0%,2%,0%,0%,2%,0%,"Achinapura, Joseph",
ACCT,2010,14,Financial Accounting Concepts,38%,33%,21%,8%,0%,0%,0%,0%,0%,"Achinapura, Joseph",
ACCT,2010,15,Financial Accounting Concepts,31%,32%,27%,6%,3%,0%,0%,0%,0%,"Martin, Caleb Jay",
ACCT,2010,105,Financial Accounting Concepts,67%,22%,0%,0%,0%,0%,0%,11%,0%,"Grant, Julie H",H
ACCT,2010,400,Financial Accounting Concepts,22%,26%,33%,11%,4%,0%,0%,4%,0%,"Madray, J Russell",
ACCT,2010,401,Financial Accounting Concepts,45%,21%,18%,7%,3%,0%,0%,6%,0%,"Madray, J Russell",
ACCT,2010,402,Financial Accounting Concepts,30%,43%,19%,6%,0%,0%,0%,3%,0%,"McCorkle, Emily Suzanne",
ACCT,2010,403,Financial Accounting Concepts,33%,26%,23%,12%,4%,0%,0%,1%,0%,"McCorkle, Emily Suzanne",
ACCT,2010,404,Financial Accounting Concepts,36%,33%,14%,4%,3%,0%,0%,9%,0%,"Madray, J Russell",
ACCT,2010,405,Financial Accounting Concepts,32%,41%,13%,1%,6%,0%,0%,7%,0%,"Madray, J Russell",
ACCT,2020,1,Managerial Accounting Concepts,37%,25%,19%,10%,5%,0%,0%,3%,0%,"Hawkins, James Craig",
ACCT,2020,2,Managerial Accounting Concepts,38%,31%,22%,4%,4%,0%,0%,2%,0%,"Hawkins, James Craig",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 1 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
ACCT,2020,3,Managerial Accounting Concepts,28%,30%,15%,18%,3%,0%,0%,8%,0%,"Garrison J, David Walter",
ACCT,2020,4,Managerial Accounting Concepts,19%,27%,38%,6%,4%,0%,0%,6%,0%,"Garrison J, David Walter",
ACCT,2020,400,Managerial Accounting Concepts,19%,46%,26%,4%,3%,0%,0%,1%,0%,"McCorkle, Emily Suzanne",
ACCT,2020,401,Managerial Accounting Concepts,25%,36%,27%,9%,1%,0%,0%,1%,0%,"McCorkle, Emily Suzanne",
ACCT,2900,1,Corporate Sustainability/Repor,48%,39%,9%,0%,0%,0%,0%,4%,0%,"McPhee, Gregory Patrick",
ACCT,3030,1,Cost Accounting,13%,43%,37%,3%,3%,0%,0%,0%,0%,"Gibson, Mary Robinson",
